Código,Nombre,Código de Barras,SKU,Servicio,Uses,Costo,Precio,IVA,IEPS,SAT code,Proveedor,Categorías,AppliesTo
261,Splitter PLC 1x4 SC/APC Monomodo,"[""SBE-SPPLC1X4SCAPC""]",SBE-SPPLC1X4SCAPC,TRUE,No,,17.75,16,0,43223300,Sbe Tech,Fibra Óptica,"[""store"",""eshop"",""retailer""]"
262,Splitter PLC 1x8 SC/APC Monomodo,"[""SBE-SPPLC1X8SCAPC""]",SBE-SPPLC1X8SCAPC,TRUE,No,,23.36,16,0,43223300,Sbe Tech,Fibra Óptica,"[""store"",""eshop"",""retailer""]"
263,Sujetacable 2.5 x 100 natural,"[""SBE-2.5X100""]",SBE-2.5X100,TRUE,No,,0.32,16,0,31151900,Sbe Tech,Sujetacables de Tela. Plásticos y Espirales,"[""store"",""eshop"",""retailer""]"
264,Sujetacable 2.5 x 100 negro,"[""SBE-2.5X100BK""]",SBE-2.5X100BK,TRUE,No,,0.34,16,0,31151900,Sbe Tech,Sujetacables de Tela. Plásticos y Espirales,"[""store"",""eshop"",""retailer""]"
265,Sujetacable 3.6 x 150 natural,"[""SBE-3.6X150""]",SBE-3.6X150,TRUE,No,,0.91,16,0,31151900,Sbe Tech,Sujetacables de Tela. Plásticos y Espirales,"[""store"",""eshop"",""retailer""]"
266,Sujetacable 3.6 x 150 negro,"[""SBE-3.6X150BK""]",SBE-3.6X150BK,TRUE,No,,0.91,16,0,31151900,Sbe Tech,Sujetacables de Tela. Plásticos y Espirales,"[""store"",""eshop"",""retailer""]"
267,Sujetacable 3.6 x 200 natural,"[""SBE-3.6X200""]",SBE-3.6X200,TRUE,No,,1.14,16,0,31151900,Sbe Tech,Sujetacables de Tela. Plásticos y Espirales,"[""store"",""eshop"",""retailer""]"
268,Sujetacable 3.6 x 200 negro,"[""SBE-3.6X200BK""]",SBE-3.6X200BK,TRUE,No,,1.14,16,0,31151900,Sbe Tech,Sujetacables de Tela. Plásticos y Espirales,"[""store"",""eshop"",""retailer""]"
269,Sujetacable 3.6 x 300 natural,"[""SBE-3.6X300""]",SBE-3.6X300,TRUE,No,,1.97,16,0,31151900,Sbe Tech,Sujetacables de Tela. Plásticos y Espirales,"[""store"",""eshop"",""retailer""]"
270,Sujetacable 3.6 x 300 negro,"[""SBE-3.6X300BK""]",SBE-3.6X300BK,TRUE,No,,1.97,16,0,31151900,Sbe Tech,Sujetacables de Tela. Plásticos y Espirales,"[""store"",""eshop"",""retailer""]"
271,Sujetacable 4.8 x 300 natural,"[""SBE-4.8X300""]",SBE-4.8X300,TRUE,No,,2.50,16,0,31151900,Sbe Tech,Sujetacables de Tela. Plásticos y Espirales,"[""store"",""eshop"",""retailer""]"
272,Sujetacable 4.8 x 300 negro,"[""SBE-4.8X300BK""]",SBE-4.8X300BK,TRUE,No,,2.50,16,0,31151900,Sbe Tech,Sujetacables de Tela. Plásticos y Espirales,"[""store"",""eshop"",""retailer""]"
273,Sujetacable 4.8 x 450 natural,"[""SBE-4.8X450""]",SBE-4.8X450,TRUE,No,,2.95,16,0,31151900,Sbe Tech,Sujetacables de Tela. Plásticos y Espirales,"[""store"",""eshop"",""retailer""]"
274,Sujetacable 4.8 x 450 negro,"[""SBE-4.8X450BK""]",SBE-4.8X450BK,TRUE,No,,2.95,16,0,31151900,Sbe Tech,Sujetacables de Tela. Plásticos y Espirales,"[""store"",""eshop"",""retailer""]"
275,"""Sujetacable de tela MOSHU TIE color azul rollo 25 metros x 3/4"""" (2 cm)""","[""SBE-V2X25-BL""]",SBE-V2X25-BL,TRUE,No,,17.36,16,0,31151900,Sbe Tech,Sujetacables de Tela. Plásticos y Espirales,"[""store"",""eshop"",""retailer""]"
